#interaction	gene1	Egene2	dir	sign	biogrid	pubmed
hiv_ppi	E155459	E80344	0	0	biogrid	pmids:22190037
hiv_ppi	E11168	E155348	0	0	biogrid	pmids:12407101:15895093:21454548:16260736
hiv_ppi	E155871	E2961	0	0	biogrid	pmids:8934526
hiv_ppi	E155030	E8651	0	0	biogrid	pmids:19327355:18172216
hiv_ppi	E155871	E2960	0	0	biogrid	pmids:8934526:9121429
hiv_ppi	E10594	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E2010	0	0	biogrid	pmids:19454010
hiv_ppi	E156110	E7037	0	0	biogrid	pmids:15047825
hiv_ppi	E155459	E7157	0	0	biogrid	pmids:21071676
hiv_ppi	E1173	E156110	0	0	biogrid	pmids:10814565
hiv_ppi	E155807	E3267	0	0	biogrid	pmids:8195203
hiv_ppi	E155030	E155807	0	0	biogrid	pmids:11259200
hiv_ppi	E156110	E344558	0	0	biogrid	pmids:16374509
hiv_ppi	E155871	E5245	0	0	biogrid	pmids:19454010
hiv_ppi	E155348	E6598	0	0	biogrid	pmids:14963118
hiv_ppi	E155459	E27350	0	0	biogrid	pmids:21279453:18419775
hiv_ppi	E155871	E8665	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E8662	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E7067	0	0	biogrid	pmids:7609079
hiv_ppi	E155871	E8661	0	0	biogrid	pmids:19454010
hiv_ppi	E155348	E7341	0	0	biogrid	pmids:21454548
hiv_ppi	E156110	E6714	0	0	biogrid	pmids:9778343:16374509
hiv_ppi	E156110	E3932	0	0	biogrid	pmids:9778343:16374509
hiv_ppi	E155459	E865	0	0	biogrid	pmids:22190037:22479405:22190036
hiv_ppi	E155871	E25909	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E3837	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E3835	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6049	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6046	0	0	biogrid	pmids:19454010
hiv_ppi	E10856	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E7314	0	0	biogrid	pmids:15994808:11991975:16775314
hiv_ppi	E155871	E3838	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E3930	0	0	biogrid	pmids:19454010
hiv_ppi	E155945	E9616	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E9188	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5411	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E25930	0	0	biogrid	pmids:19403673
hiv_ppi	E155871	E27292	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E55506	0	0	biogrid	pmids:11080476
hiv_ppi	E10174	E156110	0	0	biogrid	pmids:16374509
hiv_ppi	E156110	E5062	0	0	biogrid	pmids:15047825
hiv_ppi	E156110	E8874	0	0	biogrid	pmids:16374509
hiv_ppi	E155807	E6118	0	0	biogrid	pmids:20824083
hiv_ppi	E155945	E1642	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E7818	0	0	biogrid	pmids:19454010
hiv_ppi	E156110	E3055	0	0	biogrid	pmids:9778343:16374509:21886773:18042718:12076760
hiv_ppi	E155871	E3066	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E51747	0	0	biogrid	pmids:19454010
hiv_ppi	E156110	E8878	0	0	biogrid	pmids:22190037
hiv_ppi	E155807	E1642	0	0	biogrid	pmids:20089662:22190037:17559673:17314515:17626091:22438978:17620334:17360488:17609381:17630831
hiv_ppi	E155807	E1643	0	0	biogrid	pmids:17360488
hiv_ppi	E155871	E988	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E4928	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5700	0	0	biogrid	pmids:12419264
hiv_ppi	E10580	E156110	0	0	biogrid	pmids:16374509
hiv_ppi	E155871	E9133	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E51341	0	0	biogrid	pmids:11907272
hiv_ppi	E11331	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E10309	E155807	0	0	biogrid	pmids:22292079
hiv_ppi	E155030	E85363	0	0	biogrid	pmids:17543365:16809279:16808955
hiv_ppi	E155030	E2332	0	0	biogrid	pmids:19249802
hiv_ppi	E10985	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E23397	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E8334	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E7314	0	0	biogrid	pmids:12883554
hiv_ppi	E155871	E8338	0	0	biogrid	pmids:11080476
hiv_ppi	E156110	E7525	0	0	biogrid	pmids:16374509
hiv_ppi	E155871	E170575	0	0	biogrid	pmids:19454010
hiv_ppi	E156110	E9459	0	0	biogrid	pmids:16374509
hiv_ppi	E155871	E8970	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E155871	0	0	biogrid	pmids:11689053
