#interaction	Egene1	Egene2	dir	sign	biogrid	pubmed
Methylation	E7764	E8290	1	0	biogrid	pmids:12700765
Ubiquitination	E9616	E4792	1	0	biogrid	pmids:20638939
Sumoylation	E7329	E3298	1	0	biogrid	pmids:18211895
Phosphorylation	E5594	E6721	1	0	biogrid	pmids:14988395:10627507
Phosphorylation	E5594	E6720	1	0	biogrid	pmids:10627507
Phosphorylation	E5562	E96459	1	0	biogrid	pmids:17028174
Phosphorylation	E5579	E54101	1	0	biogrid	pmids:11278382
Ubiquitination	E10393	E9232	1	0	biogrid	pmids:20080579
Phosphorylation	E5601	E2002	1	0	biogrid	pmids:8654373
Ubiquitination	E10273	E85300	1	0	biogrid	pmids:16275660
Ubiquitination	E55120	E55120	1	0	biogrid	pmids:16916645:17396147
Sumoylation	E7329	E3297	1	0	biogrid	pmids:19684601
Deubiquitination	E9958	E55432	1	0	biogrid	pmids:22626734
Methylation	E80854	E6881	1	0	biogrid	pmids:15099517:16415881
Sumoylation	E8554	E7157	1	0	biogrid	pmids:11583632:20805487
Phosphorylation	E1019	E3005	1	0	biogrid	pmids:12383116
Phosphorylation	E1019	E3007	1	0	biogrid	pmids:18850315
Ubiquitination	E10477	E10477	1	0	biogrid	pmids:20484052
Phosphorylation	E1452	E3320	1	0	biogrid	pmids:22824801
Dephosphorylation	E5515	E51564	1	0	biogrid	pmids:18339811
modification	E6790	E11186	1	0	biogrid	pmids:21874044
Phosphorylation	E2534	E2534	1	0	biogrid	pmids:7687536:11157475
Phosphorylation	E27347	E4155	1	0	biogrid	pmids:10980603
Ubiquitination	E4734	E57118	1	0	biogrid	pmids:19953087
Phosphorylation	E5579	E25998	1	0	biogrid	pmids:21482705
Ubiquitination	E84676	E9099	1	0	biogrid	pmids:22626734
Phosphorylation	E11200	E5371	1	0	biogrid	pmids:12402044
Phosphorylation	E120892	E51347	1	0	biogrid	pmids:20949042
Phosphorylation	E4830	E4830	1	0	biogrid	pmids:17314099:18815136:11835509:16189514
Phosphorylation	E4792	E5970	1	0	biogrid	pmids:11287411:20797629:9751059:22022389:15799966:7628694:8139561:20980497:12419806:11313474:14690596:8657102:8887633:11020244:7878004:22081069:20065107:16105840:19219072:11533489:9990853:20551178:8978697:9738011:11231305:10066434
Deubiquitination	E56943	E8338	1	0	biogrid	pmids:21746879
Ubiquitination	E9025	E8338	1	0	biogrid	pmids:21706008
