#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E11168	E155348	0	0	pmids:22190034
hiv_human	E155348	E79711	0	0	pmids:22190034
hiv_human	E155945	E522	0	0	pmids:22190034
hiv_human	E155971	E23071	0	0	pmids:22190034
hiv_human	E155971	E28577	0	0	pmids:22190034
hiv_human	E155971	E26270	0	0	pmids:22190034
hiv_human	E155348	E5516	0	0	pmids:22190034
hiv_human	E155971	E5611	0	0	pmids:22190034
hiv_human	E155971	E6048	0	0	pmids:22190034
hiv_human	E155971	E84331	0	0	pmids:22190034
hiv_human	E10920	E155807	0	0	pmids:22190034
hiv_human	E155348	E8994	0	0	pmids:22190034
hiv_human	E155807	E79833	0	0	pmids:22190034
hiv_human	E155348	E53918	0	0	pmids:22190034
hiv_human	E155030	E4141	0	0	pmids:22190034
hiv_human	E155971	E2202	0	0	pmids:22190034
hiv_human	E155030	E79731	0	0	pmids:22190034
hiv_human	E155030	E5610	0	0	pmids:22190034
hiv_human	E155348	E2296	0	0	pmids:22190034
hiv_human	E155348	E9368	0	0	pmids:22190034
hiv_human	E10525	E155971	0	0	pmids:22190034
hiv_human	E155348	E548596	0	0	pmids:22190034
hiv_human	E155030	E3376	0	0	pmids:22190034
hiv_human	E155971	E30968	0	0	pmids:22190034
hiv_human	E155971	E3998	0	0	pmids:22190034
hiv_human	E155030	E9221	0	0	pmids:22190034
hiv_human	E129531	E155908	0	0	pmids:22190034
hiv_human	E155971	E5445	0	0	pmids:22190034
hiv_human	E155030	E3276	0	0	pmids:22190034
hiv_human	E155945	E221955	0	0	pmids:22190034
hiv_human	E155459	E865	0	0	pmids:22190034
hiv_human	E155459	E55626	0	0	pmids:22190034
hiv_human	E155971	E5682	0	0	pmids:22190034
hiv_human	E10972	E155908	0	0	pmids:22190034
hiv_human	E155807	E6607	0	0	pmids:22190034
hiv_human	E155807	E6606	0	0	pmids:22190034
hiv_human	E155971	E6184	0	0	pmids:22190034
hiv_human	E155348	E55898	0	0	pmids:22190034
hiv_human	E10960	E155971	0	0	pmids:22190034
hiv_human	E155807	E88455	0	0	pmids:22190034
hiv_human	E155030	E6386	0	0	pmids:22190034
hiv_human	E155348	E2580	0	0	pmids:22190034
hiv_human	E155945	E29956	0	0	pmids:22190034
hiv_human	E155807	E54958	0	0	pmids:22190034
hiv_human	E155807	E57003	0	0	pmids:22190034
hiv_human	E155971	E23193	0	0	pmids:22190034
hiv_human	E155971	E5245	0	0	pmids:22190034
hiv_human	E155030	E9255	0	0	pmids:22190034
hiv_human	E155971	E257415	0	0	pmids:22190034
hiv_human	E155348	E1729	0	0	pmids:22190034
hiv_human	E155348	E26031	0	0	pmids:22190034
hiv_human	E155945	E55705	0	0	pmids:22190034
hiv_human	E155348	E64682	0	0	pmids:22190034
