#COLLAPSE=False
#dataset	gene_id	complex_id	dir	sign
reactome_cx	E5898	REACT148153	1	1
reactome_cx	E4800	REACT148151	1	1
reactome_cx	E4801	REACT148151	1	1
reactome_cx	E6721	REACT148151	1	1
reactome_cx	E6720	REACT148151	1	1
reactome_cx	E6667	REACT148151	1	1
reactome_cx	E6721	REACT148157	1	1
reactome_cx	E6720	REACT148157	1	1
reactome_cx	E87	REACT21104	1	1
reactome_cx	E29780	REACT21104	1	1
reactome_cx	E3716	REACT26738	1	1
reactome_cx	E3458	REACT26738	1	1
reactome_cx	E3459	REACT26738	1	1
reactome_cx	E3717	REACT26738	1	1
reactome_cx	E3460	REACT26738	1	1
reactome_cx	E3915	REACT165439	1	1
reactome_cx	E3913	REACT165439	1	1
reactome_cx	E81027	REACT148401	1	1
reactome_cx	E7280	REACT148401	1	1
reactome_cx	E7277	REACT148401	1	1
reactome_cx	E347733	REACT148401	1	1
reactome_cx	E9371	REACT148401	1	1
reactome_cx	E7278	REACT148401	1	1
reactome_cx	E113457	REACT148401	1	1
reactome_cx	E654264	REACT148401	1	1
reactome_cx	E22920	REACT148401	1	1
reactome_cx	E10383	REACT148401	1	1
reactome_cx	E10382	REACT148401	1	1
reactome_cx	E10381	REACT148401	1	1
reactome_cx	E84617	REACT148401	1	1
reactome_cx	E10376	REACT148401	1	1
reactome_cx	E5867	REACT148401	1	1
reactome_cx	E7846	REACT148401	1	1
reactome_cx	E84790	REACT148401	1	1
reactome_cx	E5091	REACT165431	1	1
reactome_cx	E2219	REACT165432	1	1
reactome_cx	E6647	REACT173519	1	1
reactome_cx	E586	REACT2441	1	1
reactome_cx	E29882	REACT7458	1	1
reactome_cx	E4085	REACT7458	1	1
reactome_cx	E29945	REACT7458	1	1
reactome_cx	E983	REACT7458	1	1
reactome_cx	E730594	REACT7458	1	1
reactome_cx	E701	REACT7458	1	1
reactome_cx	E8881	REACT7458	1	1
reactome_cx	E651763	REACT7458	1	1
reactome_cx	E9184	REACT7458	1	1
reactome_cx	E649620	REACT7458	1	1
reactome_cx	E647654	REACT7458	1	1
reactome_cx	E64682	REACT7458	1	1
reactome_cx	E7324	REACT7458	1	1
reactome_cx	E7321	REACT7458	1	1
reactome_cx	E51434	REACT7458	1	1
reactome_cx	E650621	REACT7458	1	1
reactome_cx	E51433	REACT7458	1	1
reactome_cx	E8900	REACT7458	1	1
reactome_cx	E890	REACT7458	1	1
reactome_cx	E996	REACT7458	1	1
reactome_cx	E246184	REACT7458	1	1
reactome_cx	E991	REACT7458	1	1
reactome_cx	E729948	REACT7458	1	1
reactome_cx	E51529	REACT7458	1	1
reactome_cx	E10393	REACT7458	1	1
reactome_cx	E8697	REACT7458	1	1
reactome_cx	E730314	REACT7458	1	1
reactome_cx	E731012	REACT7458	1	1
reactome_cx	E11065	REACT7458	1	1
reactome_cx	E84844	REACT3715	1	1
reactome_cx	E10262	REACT3715	1	1
reactome_cx	E119358	REACT3715	1	1
reactome_cx	E8175	REACT3715	1	1
reactome_cx	E83443	REACT3715	1	1
reactome_cx	E10291	REACT3715	1	1
reactome_cx	E6629	REACT3715	1	1
reactome_cx	E10992	REACT3715	1	1
reactome_cx	E6636	REACT3715	1	1
reactome_cx	E6627	REACT3715	1	1
reactome_cx	E6628	REACT3715	1	1
reactome_cx	E51639	REACT3715	1	1
reactome_cx	E23451	REACT3715	1	1
reactome_cx	E23450	REACT3715	1	1
reactome_cx	E6633	REACT3715	1	1
reactome_cx	E6632	REACT3715	1	1
reactome_cx	E6635	REACT3715	1	1
reactome_cx	E6634	REACT3715	1	1
reactome_cx	E6637	REACT3715	1	1
reactome_cx	E10946	REACT3715	1	1
reactome_cx	E3939	REACT3717	1	1
reactome_cx	E3945	REACT3717	1	1
reactome_cx	E2730	REACT7452	1	1
reactome_cx	E2729	REACT7452	1	1
reactome_cx	E2954	REACT164217	1	1
reactome_cx	E2219	REACT164214	1	1
reactome_cx	E9353	REACT19985	1	1
reactome_cx	E2817	REACT19985	1	1
reactome_cx	E6091	REACT19985	1	1
reactome_cx	E7408	REACT19985	1	1
reactome_cx	E51466	REACT19985	1	1
reactome_cx	E55740	REACT19985	1	1
reactome_cx	E1278	REACT164212	1	1
reactome_cx	E6678	REACT164212	1	1
reactome_cx	E1277	REACT164212	1	1
reactome_cx	E6822	REACT7457	1	1
reactome_cx	E11274	REACT26598	1	1
reactome_cx	E3455	REACT26598	1	1
reactome_cx	E64147	REACT26592	1	1
reactome_cx	E3688	REACT13998	1	1
reactome_cx	E8515	REACT13998	1	1
reactome_cx	E127833	REACT11594	1	1
reactome_cx	E6857	REACT11594	1	1
reactome_cx	E925	REACT11597	1	1
reactome_cx	E926	REACT11597	1	1
reactome_cx	E292	REACT8897	1	1
reactome_cx	E293	REACT8897	1	1
reactome_cx	E291	REACT8897	1	1
reactome_cx	E124	REACT4842	1	1
reactome_cx	E125	REACT4842	1	1
reactome_cx	E126	REACT4842	1	1
reactome_cx	E4088	REACT122570	1	1
reactome_cx	E4089	REACT122570	1	1
reactome_cx	E51592	REACT122570	1	1
reactome_cx	E4087	REACT122570	1	1
reactome_cx	E3320	REACT116620	1	1
reactome_cx	E1956	REACT116620	1	1
reactome_cx	E5335	REACT116620	1	1
reactome_cx	E1950	REACT116620	1	1
reactome_cx	E11140	REACT116620	1	1
reactome_cx	E1982	REACT116627	1	1
reactome_cx	E1981	REACT116627	1	1
reactome_cx	E1977	REACT116627	1	1
reactome_cx	E1974	REACT116627	1	1
reactome_cx	E1973	REACT116627	1	1
reactome_cx	E317649	REACT116627	1	1
reactome_cx	E8672	REACT116627	1	1
reactome_cx	E9775	REACT116627	1	1
reactome_cx	E4153	REACT8787	1	1
reactome_cx	E1234	REACT8786	1	1
reactome_cx	E7852	REACT8786	1	1
reactome_cx	E920	REACT8786	1	1
reactome_cx	E5427	REACT8099	1	1
reactome_cx	E5426	REACT8099	1	1
reactome_cx	E160	REACT11732	1	1
reactome_cx	E1175	REACT11732	1	1
reactome_cx	E1173	REACT11732	1	1
reactome_cx	E161	REACT11732	1	1
reactome_cx	E163	REACT11732	1	1
reactome_cx	E920	REACT11737	1	1
reactome_cx	E3932	REACT11737	1	1
reactome_cx	E192669	REACT120122	1	1
reactome_cx	E3717	REACT27461	1	1
reactome_cx	E3716	REACT27461	1	1
reactome_cx	E7297	REACT27461	1	1
reactome_cx	E3569	REACT27461	1	1
reactome_cx	E3570	REACT27461	1	1
reactome_cx	E3572	REACT27461	1	1
reactome_cx	E649891	REACT27461	1	1
reactome_cx	E9021	REACT27461	1	1
reactome_cx	E6774	REACT27463	1	1
reactome_cx	E4174	REACT4259	1	1
reactome_cx	E4175	REACT4259	1	1
reactome_cx	E4176	REACT4259	1	1
reactome_cx	E4171	REACT4259	1	1
reactome_cx	E4172	REACT4259	1	1
reactome_cx	E4173	REACT4259	1	1
reactome_cx	E3717	REACT27469	1	1
reactome_cx	E3716	REACT27469	1	1
reactome_cx	E7297	REACT27469	1	1
reactome_cx	E3569	REACT27469	1	1
reactome_cx	E3570	REACT27469	1	1
reactome_cx	E3572	REACT27469	1	1
reactome_cx	E649891	REACT27469	1	1
reactome_cx	E2779	REACT15745	1	1
reactome_cx	E2770	REACT15745	1	1
reactome_cx	E2771	REACT15745	1	1
reactome_cx	E94235	REACT15745	1	1
reactome_cx	E2773	REACT15745	1	1
reactome_cx	E2775	REACT15745	1	1
reactome_cx	E55970	REACT15745	1	1
reactome_cx	E59345	REACT15745	1	1
reactome_cx	E54331	REACT15745	1	1
reactome_cx	E2785	REACT15745	1	1
reactome_cx	E2784	REACT15745	1	1
reactome_cx	E2787	REACT15745	1	1
reactome_cx	E2786	REACT15745	1	1
reactome_cx	E2781	REACT15745	1	1
reactome_cx	E2780	REACT15745	1	1
reactome_cx	E2783	REACT15745	1	1
reactome_cx	E2782	REACT15745	1	1
reactome_cx	E2788	REACT15745	1	1
reactome_cx	E10681	REACT15745	1	1
reactome_cx	E51764	REACT15745	1	1
reactome_cx	E2792	REACT15745	1	1
reactome_cx	E2793	REACT15745	1	1
reactome_cx	E2790	REACT15745	1	1
reactome_cx	E2791	REACT15745	1	1
reactome_cx	E801	REACT15747	1	1
reactome_cx	E808	REACT15747	1	1
reactome_cx	E814	REACT15747	1	1
reactome_cx	E805	REACT15747	1	1
reactome_cx	E801	REACT15743	1	1
reactome_cx	E808	REACT15743	1	1
reactome_cx	E814	REACT15743	1	1
reactome_cx	E805	REACT15743	1	1
reactome_cx	E5336	REACT152328	1	1
reactome_cx	E8517	REACT76490	1	1
reactome_cx	E10392	REACT76490	1	1
reactome_cx	E64127	REACT76490	1	1
reactome_cx	E8767	REACT76490	1	1
reactome_cx	E9965	REACT76324	1	1
reactome_cx	E2264	REACT76324	1	1
reactome_cx	E152831	REACT76324	1	1
reactome_cx	E325	REACT76328	1	1
reactome_cx	E7706	REACT26732	1	1
reactome_cx	E23586	REACT26732	1	1
reactome_cx	E84166	REACT26732	1	1
reactome_cx	E64135	REACT26732	1	1
reactome_cx	E84282	REACT26732	1	1
reactome_cx	E169044	REACT124010	1	1
reactome_cx	E1303	REACT124010	1	1
reactome_cx	E9978	REACT76145	1	1
reactome_cx	E6500	REACT76145	1	1
reactome_cx	E26259	REACT76145	1	1
reactome_cx	E9820	REACT76145	1	1
reactome_cx	E27161	REACT119622	1	1
reactome_cx	E55869	REACT119627	1	1
reactome_cx	E79885	REACT119627	1	1
reactome_cx	E9734	REACT119627	1	1
reactome_cx	E9611	REACT119627	1	1
reactome_cx	E9612	REACT119627	1	1
reactome_cx	E79718	REACT119627	1	1
reactome_cx	E3516	REACT119627	1	1
reactome_cx	E51564	REACT119627	1	1
reactome_cx	E8841	REACT119627	1	1
reactome_cx	E3066	REACT119627	1	1
reactome_cx	E3065	REACT119627	1	1
reactome_cx	E83933	REACT119627	1	1
reactome_cx	E10013	REACT119627	1	1
reactome_cx	E22938	REACT119627	1	1
reactome_cx	E6907	REACT119627	1	1
reactome_cx	E9759	REACT119627	1	1
reactome_cx	E10014	REACT119627	1	1
reactome_cx	E8650	REACT119624	1	1
reactome_cx	E728590	REACT119624	1	1
reactome_cx	E7311	REACT119624	1	1
reactome_cx	E732088	REACT119624	1	1
reactome_cx	E6233	REACT119624	1	1
reactome_cx	E7089	REACT119628	1	1
reactome_cx	E7088	REACT119628	1	1
reactome_cx	E7091	REACT119628	1	1
reactome_cx	E7090	REACT119628	1	1
reactome_cx	E29577	REACT119628	1	1
reactome_cx	E28514	REACT160445	1	1
reactome_cx	E3661	REACT7146	1	1
reactome_cx	E54567	REACT160440	1	1
reactome_cx	E6776	REACT117283	1	1
reactome_cx	E2066	REACT117283	1	1
reactome_cx	E5805	REACT111591	1	1
reactome_cx	E991	REACT7631	1	1
reactome_cx	E26271	REACT7631	1	1
reactome_cx	E3717	REACT111590	1	1
reactome_cx	E2688	REACT111590	1	1
reactome_cx	E2689	REACT111590	1	1
reactome_cx	E2690	REACT111590	1	1
reactome_cx	E5519	REACT111616	1	1
reactome_cx	E5515	REACT111616	1	1
reactome_cx	E28227	REACT111616	1	1
reactome_cx	E5518	REACT111616	1	1
reactome_cx	E5516	REACT111616	1	1
reactome_cx	E729964	REACT111614	1	1
reactome_cx	E1163	REACT111614	1	1
reactome_cx	E6502	REACT111614	1	1
reactome_cx	E6500	REACT111614	1	1
reactome_cx	E732142	REACT111614	1	1
reactome_cx	E5934	REACT111614	1	1
reactome_cx	E8454	REACT111614	1	1
reactome_cx	E5970	REACT7143	1	1
reactome_cx	E4791	REACT7143	1	1
reactome_cx	E7094	REACT20932	1	1
reactome_cx	E3693	REACT20932	1	1
reactome_cx	E10174	REACT20932	1	1
reactome_cx	E10580	REACT20932	1	1
reactome_cx	E7414	REACT20932	1	1
reactome_cx	E3672	REACT20932	1	1
reactome_cx	E3562	REACT24208	1	1
reactome_cx	E3563	REACT24208	1	1
reactome_cx	E3717	REACT24208	1	1
reactome_cx	E2885	REACT24208	1	1
reactome_cx	E6464	REACT24208	1	1
reactome_cx	E1439	REACT24208	1	1
reactome_cx	E9846	REACT24208	1	1
reactome_cx	E3568	REACT24201	1	1
reactome_cx	E3717	REACT24201	1	1
reactome_cx	E3567	REACT24201	1	1
reactome_cx	E1439	REACT24201	1	1
reactome_cx	E1437	REACT24200	1	1
reactome_cx	E3717	REACT24200	1	1
reactome_cx	E1438	REACT24200	1	1
reactome_cx	E1439	REACT24200	1	1
reactome_cx	E10267	REACT18527	1	1
reactome_cx	E8822	REACT123540	1	1
reactome_cx	E2261	REACT123540	1	1
reactome_cx	E2247	REACT123540	1	1
reactome_cx	E8074	REACT123540	1	1
reactome_cx	E8817	REACT123540	1	1
reactome_cx	E2249	REACT123540	1	1
reactome_cx	E2246	REACT123540	1	1
reactome_cx	E2254	REACT123540	1	1
reactome_cx	E2253	REACT123540	1	1
reactome_cx	E26281	REACT123540	1	1
reactome_cx	E2250	REACT123540	1	1
reactome_cx	E1175	REACT22698	1	1
reactome_cx	E1211	REACT22698	1	1
reactome_cx	E1173	REACT22698	1	1
reactome_cx	E3897	REACT22698	1	1
reactome_cx	E160	REACT22698	1	1
reactome_cx	E161	REACT22698	1	1
reactome_cx	E163	REACT22698	1	1
reactome_cx	E2263	REACT123544	1	1
reactome_cx	E1280	REACT123895	1	1
reactome_cx	E1303	REACT151439	1	1
reactome_cx	E7430	REACT22690	1	1
reactome_cx	E2263	REACT123893	1	1
reactome_cx	E8361	REACT22693	1	1
reactome_cx	E8360	REACT22693	1	1
reactome_cx	E8363	REACT22693	1	1
reactome_cx	E8362	REACT22693	1	1
reactome_cx	E8365	REACT22693	1	1
reactome_cx	E8364	REACT22693	1	1
reactome_cx	E8367	REACT22693	1	1
reactome_cx	E8366	REACT22693	1	1
reactome_cx	E1058	REACT22693	1	1
reactome_cx	E8368	REACT22693	1	1
reactome_cx	E8359	REACT22693	1	1
reactome_cx	E8370	REACT22693	1	1
reactome_cx	E8294	REACT22693	1	1
reactome_cx	E554313	REACT22693	1	1
reactome_cx	E121504	REACT22693	1	1
reactome_cx	E650883	REACT13359	1	1
reactome_cx	E55066	REACT13359	1	1
reactome_cx	E54704	REACT13359	1	1
reactome_cx	E3915	REACT14652	1	1
reactome_cx	E3688	REACT14652	1	1
reactome_cx	E3913	REACT14652	1	1
reactome_cx	E3912	REACT14652	1	1
reactome_cx	E3911	REACT14652	1	1
reactome_cx	E3908	REACT14652	1	1
reactome_cx	E3024	REACT14657	1	1
reactome_cx	E3005	REACT14657	1	1
reactome_cx	E3007	REACT14657	1	1
reactome_cx	E3006	REACT14657	1	1
reactome_cx	E3009	REACT14657	1	1
reactome_cx	E3008	REACT14657	1	1
reactome_cx	E27068	REACT21920	1	1
reactome_cx	E117579	REACT21925	1	1
reactome_cx	E6019	REACT21925	1	1
reactome_cx	E59350	REACT21925	1	1
reactome_cx	E2897	REACT21924	1	1
reactome_cx	E2898	REACT21924	1	1
reactome_cx	E3562	REACT24344	1	1
reactome_cx	E3563	REACT24344	1	1
reactome_cx	E3717	REACT24344	1	1
reactome_cx	E1439	REACT24344	1	1
reactome_cx	E4868	REACT24342	1	1
reactome_cx	E3717	REACT24343	1	1
reactome_cx	E1439	REACT24343	1	1
reactome_cx	E140885	REACT24348	1	1
reactome_cx	E961	REACT24348	1	1
reactome_cx	E2185	REACT24348	1	1
reactome_cx	E17131	REACT123096	1	1
reactome_cx	E64750	REACT123096	1	1
reactome_cx	E8822	REACT123091	1	1
reactome_cx	E2261	REACT123091	1	1
reactome_cx	E2247	REACT123091	1	1
reactome_cx	E8074	REACT123091	1	1
reactome_cx	E8817	REACT123091	1	1
reactome_cx	E2249	REACT123091	1	1
reactome_cx	E2246	REACT123091	1	1
reactome_cx	E2254	REACT123091	1	1
reactome_cx	E2253	REACT123091	1	1
reactome_cx	E26281	REACT123091	1	1
reactome_cx	E2250	REACT123091	1	1
reactome_cx	E2261	REACT123761	1	1
reactome_cx	E219699	REACT22961	1	1
reactome_cx	E3915	REACT164215	1	1
reactome_cx	E3914	REACT164215	1	1
reactome_cx	E3913	REACT164215	1	1
reactome_cx	E3912	REACT164215	1	1
reactome_cx	E3911	REACT164215	1	1
