#node	ntype=discrete(source|target)
7025	source
217	target
89777	target
6549	target
5175	target
9071	target
120114	target
50486	target
3929	target
1308	target
66004	target
8622	target
5740	target
2273	target
7111	target
9123	target
10457	target
5473	target
64063	target
85320	target
5502	target
118430	target
9162	target
100506178	target
24	target
8727	target
6004	target
10186	target
3553	target
11197	target
388743	target
7052	target
9982	target
6578	target
5174	target
79148	target
1947	target
4907	target
23114	target
219527	target
221	target
2152	target
7476	target
933	target
92304	target
727851	target
6607	target
2012	target
51284	target
595	target
57115	target
4337	target
55534	target
27092	target
221393	target
2706	target
5142	target
671	target
57526	target
1490	target
23098	target
219699	target
10090	target
200407	target
94122	target
126	target
130576	target
7127	target
7124	target
9173	target
89884	target
6097	target
57484	target
221981	target
3038	target
55107	target
8877	target
6565	target
22844	target
1827	target
4739	target
6653	target
93273	target
379	target
929	target
26154	target
4487	target
410	target
121838	target
91851	target
5915	target
56241	target
8972	target
377841	target
3484	target
115677	target
4600	target
2526	target
144568	target
9388	target
3777	target
7018	target
64098	target
2312	target
64764	target
94234	target
10046	target
84941	target
7139	target
51513	target
112399	target
8687	target
342667	target
10123	target
79782	target
84532	target
27063	target
5608	target
6707	target
8322	target
2308	target
131177	target
4128	target
4804	target
53836	target
11031	target
145864	target
79686	target
3910	target
5317	target
3570	target
80201	target
3020	target
10551	target
525	target
1305	target
10103	target
284194	target
152816	target
255349	target
127534	target
79608	target
9154	target
126432	target
54855	target
84659	target
81031	target
90019	target
117245	target
2766	target
139716	target
1839	target
5327	target
5325	target
240	target
5320	target
3269	target
22901	target
644943	target
149563	target
5328	target
114897	target
255743	target
387882	target
3397	target
7275	target
7145	target
51170	target
155006	target
2048	target
94025	target
50617	target
652995	target
2149	target
54626	target
54436	target
145501	target
341032	target
10866	target
4147	target
7546	target
10417	target
5625	target
100130705	target
56673	target
339761	target
6511	target
3753	target
8313	target
8743	target
150356	target
7850	target
8471	target
6530	target
3169	target
1907	target
644	target
207107	target
3291	target
10020	target
7980	target
2568	target
205860	target
3212	target
6285	target
51435	target
3426	target
10991	target
182	target
10633	target
8821	target
22821	target
79888	target
4621	target
6361	target
29933	target
5918	target
375616	target
346171	target
10406	target
5021	target
7704	target
89846	target
3429	target
55273	target
245973	target
245972	target
116211	target
6785	target
1591	target
653499	target
5552	target
80111	target
5100	target
9627	target
7136	target
5104	target
57481	target
687	target
3689	target
114928	target
10446	target
2898	target
4680	target
3683	target
3680	target
5420	target
5225	target
284	target
284348	target
6699	target
55890	target
3963	target
6278	target
8581	target
6775	target
22885	target
8654	target
135250	target
1903	target
143689	target
154	target
54491	target
8638	target
654346	target
57010	target
4241	target
255738	target
130497	target
645027	target
222256	target
7447	target
6947	target
6402	target
11170	target
55076	target
23336	target
128434	target
1191	target
148170	target
163782	target
85449	target
1612	target
2348	target
100533483	target
7134	target
9429	target
2740	target
10763	target
51655	target
114907	target
80008	target
8626	target
1116	target
4837	target
84176	target
27345	target
9424	target
27347	target
81706	target
51200	target
3914	target
771	target
56649	target
4316	target
5167	target
23057	target
9963	target
3625	target
5284	target
84419	target
387496	target
5732	target
100133669	target
100499194	target
340359	target
8001	target
79919	target
441478	target
51702	target
84929	target
29842	target
4284	target
10562	target
85477	target
8857	target
3113	target
5997	target
27295	target
1028	target
169611	target
355	target
54577	target
9510	target
1474	target
51097	target
81493	target
10942	target
54578	target
6035	target
