2353,,,,,
All IDs for CfosEtoh01,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
9,ENSG00000171428,9,OTTHUMG00000097001,NAT1,N-acetyltransferase 1 (arylamine N-acetyltransferase)
13,ENSG00000114771,13,OTTHUMG00000159876,AADAC,arylacetamide deacetylase
18,ENSG00000183044,18,OTTHUMG00000048201,ABAT,4-aminobutyrate aminotransferase
22,ENSG00000131269,22,OTTHUMG00000021862,ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
27,ENSG00000143322,27,OTTHUMG00000035199,ABL2,v-abl Abelson murine leukemia viral oncogene homolog 2
30,ENSG00000060971,30,OTTHUMG00000131087,ACAA1,acetyl-CoA acyltransferase 1
34,ENSG00000117054,34,OTTHUMG00000009784,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
35,ENSG00000122971,35,OTTHUMG00000169203,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain"
37,ENSG00000072778,37,OTTHUMG00000102157,ACADVL,"acyl-CoA dehydrogenase, very long chain"
47,ENSG00000131473,47,OTTHUMG00000133507,ACLY,ATP citrate lyase
55,ENSG00000014257,55,OTTHUMG00000159650,ACPP,"acid phosphatase, prostate"
59,ENSG00000107796,59,OTTHUMG00000018700,ACTA2,"actin, alpha 2, smooth muscle, aorta"
70,ENSG00000159251,70,OTTHUMG00000129675,ACTC1,"actin, alpha, cardiac muscle 1"
72,ENSG00000163017,72,OTTHUMG00000129813,ACTG2,"actin, gamma 2, smooth muscle, enteric"
81,ENSG00000130402,81,OTTHUMG00000137382,ACTN4,"actinin, alpha 4"
87,ENSG00000072110,87,OTTHUMG00000171386,ACTN1,"actinin, alpha 1"
90,ENSG00000115170,90,OTTHUMG00000131967,ACVR1,"activin A receptor, type I"
91,ENSG00000135503,91,OTTHUMG00000167920,ACVR1B,"activin A receptor, type IB"
97,ENSG00000119640,97,OTTHUMG00000171767,ACYP1,"acylphosphatase 1, erythrocyte (common) type"
101,ENSG00000151651,101,OTTHUMG00000019309,ADAM8,ADAM metallopeptidase domain 8
