23512,,,,,
All IDs for Suz12,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
12,ENSG00000196136,12,OTTHUMG00000029851,SERPINA3,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
29,ENSG00000159842,29,OTTHUMG00000090313,ABR,active BCR-related
33,ENSG00000115361,33,OTTHUMG00000132989,ACADL,"acyl-CoA dehydrogenase, long chain"
58,ENSG00000143632,58,OTTHUMG00000038006,ACTA1,"actin, alpha 1, skeletal muscle"
104,ENSG00000197381,104,OTTHUMG00000090295,ADARB1,"adenosine deaminase, RNA-specific, B1"
105,ENSG00000185736,105,OTTHUMG00000017543,ADARB2,"adenosine deaminase, RNA-specific, B2"
107,ENSG00000164742,107,OTTHUMG00000155420,ADCY1,adenylate cyclase 1 (brain)
114,ENSG00000155897,114,OTTHUMG00000164756,ADCY8,adenylate cyclase 8 (brain)
116,ENSG00000141433,116,OTTHUMG00000131479,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary)
117,ENSG00000078549,117,OTTHUMG00000023884,ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
133,ENSG00000148926,133,OTTHUMG00000165907,ADM,adrenomedullin
148,ENSG00000120907,148,OTTHUMG00000099459,ADRA1A,adrenoceptor alpha 1A
152,ENSG00000184160,152,OTTHUMG00000159830,ADRA2C,adrenoceptor alpha 2C
153,ENSG00000043591,153,OTTHUMG00000019079,ADRB1,adrenoceptor beta 1
155,ENSG00000188778,155,OTTHUMG00000164028,ADRB3,adrenoceptor beta 3
176,ENSG00000157766,176,OTTHUMG00000171989,ACAN,aggrecan
257,ENSG00000156150,257,OTTHUMG00000011650,ALX3,ALX homeobox 3
286,ENSG00000029534,286,OTTHUMG00000150281,ANK1,"ankyrin 1, erythrocytic"
307,ENSG00000196975,307,OTTHUMG00000129649,ANXA4,annexin A4
322,ENSG00000166313,322,OTTHUMG00000165454,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
344,ENSG00000234906,344,OTTHUMG00000180847,APOC2,APOC2 protein
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
346,ENSG00000224916; ENSG00000267467; ENSG00000224916; ENSG00000267467,346; 346; 346; 346,OTTHUMG00000180846; OTTHUMG00000180845; OTTHUMG00000180846; OTTHUMG00000180845,APOC2; APOC4; APOC2; APOC4,apolipoprotein C-IV
