2146,,,,,
All IDs for Ezh2,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
1,ENSG00000121410,1,OTTHUMG00000183507,A1BG,alpha-1-B glycoprotein
19,ENSG00000165029,19,OTTHUMG00000020417,ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1"
21,ENSG00000167972,21,OTTHUMG00000128845,ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3"
29,ENSG00000159842,29,OTTHUMG00000090313,ABR,active BCR-related
33,ENSG00000115361,33,OTTHUMG00000132989,ACADL,"acyl-CoA dehydrogenase, long chain"
41,ENSG00000110881,41,OTTHUMG00000169812,ASIC1,acid-sensing (proton-gated) ion channel 1
43,ENSG00000087085,43,OTTHUMG00000157033,ACHE,acetylcholinesterase
58,ENSG00000143632,58,OTTHUMG00000038006,ACTA1,"actin, alpha 1, skeletal muscle"
60,ENSG00000075624,60,OTTHUMG00000023268,ACTB,"actin, beta"
70,ENSG00000159251,70,OTTHUMG00000129675,ACTC1,"actin, alpha, cardiac muscle 1"
71,ENSG00000184009,71,OTTHUMG00000177955,ACTG1,"actin, gamma 1"
88,ENSG00000077522,88,OTTHUMG00000040059,ACTN2,"actinin, alpha 2"
90,ENSG00000115170,90,OTTHUMG00000131967,ACVR1,"activin A receptor, type I"
91,ENSG00000135503,91,OTTHUMG00000167920,ACVR1B,"activin A receptor, type IB"
94,ENSG00000139567,94,OTTHUMG00000169507,ACVRL1,activin A receptor type II-like 1
95,ENSG00000243989,95,OTTHUMG00000157815,ACY1,aminoacylase 1
101,ENSG00000151651,101,OTTHUMG00000019309,ADAM8,ADAM metallopeptidase domain 8
104,ENSG00000197381,104,OTTHUMG00000090295,ADARB1,"adenosine deaminase, RNA-specific, B1"
105,ENSG00000185736,105,OTTHUMG00000017543,ADARB2,"adenosine deaminase, RNA-specific, B2"
107,ENSG00000164742,107,OTTHUMG00000155420,ADCY1,adenylate cyclase 1 (brain)
108,ENSG00000078295,108,OTTHUMG00000090476,ADCY2,adenylate cyclase 2 (brain)
109,ENSG00000138031,109,OTTHUMG00000094765,ADCY3,adenylate cyclase 3
111,ENSG00000173175,111,OTTHUMG00000159517,ADCY5,adenylate cyclase 5
112,ENSG00000174233,112,OTTHUMG00000170396,ADCY6,adenylate cyclase 6
